age,sex,marker,mean,median,std,hdi_lower,hdi_upper
0.1,F,alp,10.360655937810485,10.342520911986014,0.3249377341549749,9.764918808436725,10.980341180697605
0.6,F,alp,10.243088083840945,10.230443600577855,0.30262039270649094,9.690729119599322,10.821476620433307
1.1,F,alp,10.04995265714765,10.042069094545116,0.27611595497011704,9.544900893033054,10.577968294982266
1.6,F,alp,9.805266722041104,9.804002443655927,0.25085214520744514,9.342755876670719,10.284684867614653
2.1,F,alp,9.52174861276685,9.517022843718877,0.22922913478322418,9.111030927137667,9.952757113710637
2.6,F,alp,9.208535183819848,9.210983677514527,0.21241483885921533,8.823425683229555,9.600713675797056
3.1,F,alp,8.872980049829922,8.880147466452168,0.2006386421852522,8.507937367952797,9.247807905305452
3.6,F,alp,8.52142641515636,8.528230373482472,0.19331838412934046,8.13813456898184,8.847006735791195
4.1,F,alp,8.159785189993901,8.163186413074698,0.1892460482776717,7.805176057173435,8.49423719374705
4.6,F,alp,7.794302907748676,7.796900337567058,0.1868111276826173,7.413935969296177,8.105596054339879
5.1,F,alp,7.432880907072384,7.438241926481169,0.18418888626999547,7.103908766386457,7.779080821464325
5.6,F,alp,7.087325099366986,7.09593430221871,0.179628159928957,6.738183693714675,7.39536186317884
6.1,F,alp,6.776731247796096,6.7863379356815,0.17243026804086944,6.458078921606443,7.066330097105001
6.6,F,alp,6.531569969486568,6.533203566473649,0.16568048166290245,6.243133068112946,6.860258460843635
7.1,F,alp,6.396750293461743,6.392415635084248,0.17016599143344774,6.087801122134666,6.729485947172344
7.6,F,alp,6.430291408062764,6.419008502292743,0.19994482780345516,6.081625660725993,6.837134179675912
8.1,F,alp,6.693335627255872,6.679101532833859,0.25431578953154205,6.216252310445587,7.20422779259079
8.6,F,alp,7.228896306039161,7.222391336712173,0.31503592643698514,6.572817999417025,7.789729720789459
9.1,F,alp,8.03222783272449,8.02476591946369,0.3611437977622339,7.354574058254086,8.721909168241206
9.6,F,alp,9.023770891622476,9.016648635755086,0.3823953500732041,8.357882394770417,9.779392687140986
10.1,F,alp,10.041400030578837,10.03403748793772,0.387453437066344,9.243126137423697,10.691559775221785
10.6,F,alp,10.86581078645036,10.859028124750989,0.39612450984151637,10.135364591318993,11.613189276625425
11.1,F,alp,11.278783033645105,11.262216531542109,0.41239475634678047,10.510162606247505,12.043712193604609
11.6,F,alp,11.134624808278023,11.120645606050871,0.4160517727364958,10.447582564862795,11.96098723180036
12.1,F,alp,10.412967035295551,10.409604652936626,0.3893210059385146,9.682183606743905,11.082253346450297
12.6,F,alp,9.22666105880356,9.228027576608119,0.33699172284469603,8.630752984298573,9.859649822572253
13.1,F,alp,7.7805631090959695,7.781603810503887,0.28072969661369734,7.273164272129798,8.277448893665756
13.6,F,alp,6.301858385522441,6.300439651366588,0.2372548040077422,5.895263307737393,6.77620943229632
14.1,F,alp,4.974387113146947,4.968592332788081,0.20348823011534473,4.638663392585886,5.395201686857405
14.6,F,alp,3.9021988372774477,3.8960864496067003,0.1684193086605154,3.636215949141826,4.265845199554531
15.1,F,alp,3.1086677631533903,3.1014810339654577,0.12957814601861467,2.868265513302714,3.3664171203255453
15.6,F,alp,2.560314115264325,2.554959771722536,0.09292833226774756,2.399927263068171,2.7475081155362817
16.1,F,alp,2.197888428629864,2.193590291435827,0.06579714640940751,2.0763251356312806,2.315558604268554
16.6,F,alp,1.9611559972388757,1.9606596889513794,0.05130257688675148,1.8628201670652635,2.05344102667903
17.1,F,alp,1.802140616480759,1.8003716253491686,0.04589118771159275,1.730148177269302,1.903410345920656
17.6,F,alp,1.6883696911213792,1.6885963520280973,0.043694321123864226,1.6088959048412868,1.7702846905927128
18.1,F,alp,1.6004522023590246,1.6008901102411475,0.041712367892580926,1.5206749466546665,1.6784135002001874
18.6,F,alp,1.5279024961184224,1.5278429027574323,0.039359168537404246,1.4482064391043272,1.6008323324274416
19.1,F,alp,1.4654363788620095,1.464667498409527,0.036797042389803365,1.388533221939942,1.532782435939497
19.6,F,alp,1.4104570637195566,1.4094995489667967,0.03423209116427414,1.3379136011733732,1.4722932981071717
20.1,F,alp,1.361622535849479,1.3600958241226366,0.03177511648102821,1.2972776995706006,1.4201272097916522
20.6,F,alp,1.3181330377955591,1.3160057161750522,0.02946404530636779,1.258914679472911,1.3728778453002752
21.1,F,alp,1.279415155109777,1.2778261420159378,0.02730161553252948,1.223361272626192,1.3286958199174264
21.6,F,alp,1.2449951387244658,1.2437992859707991,0.025278082707234688,1.1930799645112398,1.2909665363141494
22.1,F,alp,1.2144523191446623,1.212961036531481,0.023381278003447397,1.1659566877074494,1.2559913280840662
22.6,F,alp,1.1874029818797998,1.1860725435471802,0.02160015035425232,1.1454905427906295,1.2288842807438696
23.1,F,alp,1.1634947045950117,1.162346184050683,0.01992562288314009,1.1243477484914455,1.2015975617820687
23.6,F,alp,1.1424039126038874,1.1411459146966423,0.01835051091866786,1.1075347032418499,1.1791137314901987
24.1,F,alp,1.1238342825277883,1.1227703505284112,0.016869174722195193,1.092346823944845,1.1581579353076663
24.6,F,alp,1.1075153012141616,1.1064327448791689,0.015477138457448927,1.0742322243182054,1.1348533707799044
25.1,F,alp,1.0932008111108815,1.0921414892306949,0.014170748092726337,1.0631687313026636,1.118769264313252
25.6,F,alp,1.0806675213571146,1.079746066279855,0.01294688778632345,1.0565697013329531,1.1074396940643196
26.1,F,alp,1.0697135000252116,1.0689431010532364,0.01180275654784372,1.0452066718083919,1.0918155801520786
26.6,F,alp,1.060156668656576,1.0594896586489055,0.01073570059398906,1.0398909307051496,1.0823228004094676
27.1,F,alp,1.0518333184763913,1.0512217350582431,0.009743094382105915,1.0319323633952764,1.0701975907466197
27.6,F,alp,1.0445966644452958,1.044066768020138,0.008822262528306039,1.0267358055398463,1.061203566871952
28.1,F,alp,1.038315450060426,1.037839721514683,0.007970434898167766,1.0235571691779257,1.0548247270193016
28.6,F,alp,1.0328726128746397,1.032465450533019,0.007184727724279467,1.0199929475827267,1.048133696915494
29.1,F,alp,1.028164018118234,1.0277818702330324,0.006462144438316035,1.0167211239034586,1.0418419543158897
29.6,F,alp,1.0240972655794855,1.0237074721679993,0.005799590870687462,1.011391793499897,1.0336243206910667
30.1,F,alp,1.0205905730120042,1.0202388257113224,0.00519390049253059,1.0094098005208487,1.0291588289849491
30.6,F,alp,1.01757173776661,1.0172327577894356,0.004641866428586868,1.0078645347744113,1.0252947181853436
31.1,F,alp,1.0149771770711071,1.0146760071095413,0.004140278082366183,1.0065121585196135,1.0219385972822153
31.6,F,alp,1.0127510463790899,1.012460829974838,0.0036859614752414362,1.005233609798321,1.0190130514447642
32.1,F,alp,1.010844434456896,1.0105701881757538,0.003275823980267384,1.0042506422209847,1.0164608908915185
32.6,F,alp,1.009214633353373,1.0089561636897597,0.0029069063194645498,1.0035011818986206,1.0142931670061117
33.1,F,alp,1.0078244810799535,1.0075942526146888,0.0025764479389367486,1.0034517087124766,1.0129660264023541
33.6,F,alp,1.0066417746982474,1.0064333388963251,0.0022819767921863094,1.0029773342290043,1.0114070359580458
34.1,F,alp,1.0056387515506027,1.0054509328340602,0.002021441744441367,1.0018570772956505,1.009303899250658
34.6,F,alp,1.0047916365562295,1.0046060475391025,0.0017934150103910056,1.0017481932709873,1.0082725704677669
35.1,F,alp,1.0040802538123212,1.0038836714525603,0.0015973994372705117,1.001341793144419,1.007128274968051
35.6,F,alp,1.0034877011639223,1.0032905748498613,0.0014342664783558764,1.0010936307337608,1.0063105242878156
36.1,F,alp,1.0030000869118685,1.0027874392230944,0.0013067868647429395,1.000691050340559,1.0054650292863172
36.6,F,alp,1.0026063283818607,1.0023614683972886,0.0012200335826914382,1.0007207265803284,1.00505804992654
37.1,F,alp,1.0022980126368495,1.0020417944713211,0.0011811453092912475,1.0004433134875028,1.0045799813820218
37.6,F,alp,1.0020693201224973,1.001772336337257,0.001197914445252212,1.000363692902029,1.004298725047777
38.1,F,alp,1.0019170124169627,1.0015643072640188,0.0012765938951978181,1.0003638597006266,1.004156748960852
38.6,F,alp,1.0018404854143772,1.0013848561191314,0.0014206382725187414,1.0003056388931,1.0042775161849393
39.1,F,alp,1.0018418890813476,1.0012726998433563,0.0016315290418882284,1.000247427438934,1.0047089616148785
39.6,F,alp,1.0019263142323094,1.001238375516125,0.0019106797505584277,1.0002000366496813,1.005345536521157
40.1,F,alp,1.002102045383313,1.0012285250329847,0.0022608339545296357,1.0001631019532369,1.006280996861134
40.6,F,alp,1.0023808764430904,1.0013666184731174,0.0026864842702990104,1.0001357843305492,1.0074127787289726
41.1,F,alp,1.0027784825353416,1.0015385445458787,0.003193645124312795,1.0001181878814975,1.0088325405572929
41.6,F,alp,1.00331483635105,1.0018435634223088,0.0037893529871116643,1.0001116936034748,1.0105167787448377
42.1,F,alp,1.004014650841774,1.0023488544076002,0.004481072889568338,1.0001299458299118,1.012526433894907
42.6,F,alp,1.0049078215563771,1.003044798275062,0.005276052340063682,1.000105616887226,1.014875427064561
43.1,F,alp,1.006029831346081,1.0039074570490305,0.006180607881236971,1.0000547615624744,1.0177433232879511
43.6,F,alp,1.0074220675083458,1.0051635094494114,0.007199318495252472,1.0000564633611622,1.0209254865891033
44.1,F,alp,1.009131986924193,1.0067718063610216,0.008334108702595579,1.0000558936319905,1.0245652772427005
44.6,F,alp,1.0112130489067004,1.0087579437871992,0.009583222504337692,1.0000464477887543,1.0286847155414236
45.1,F,alp,1.013724319312143,1.0110817232977585,0.010940115072737717,1.0000411956117514,1.0332994688581367
45.6,F,alp,1.016729634549167,1.0142082999427704,0.012392323150498628,1.0000424589584236,1.0384171633985726
46.1,F,alp,1.0202962027600602,1.0178991953995844,0.013920419233161802,1.000055682567978,1.0441856170634087
46.6,F,alp,1.0244925147818786,1.0223483250753613,0.015497210287711631,1.0000922901197686,1.0504698339889034
47.1,F,alp,1.0293854435555807,1.0277981664295641,0.017087409201713893,1.00017464194389,1.0569982466136234
47.6,F,alp,1.0350364323385777,1.0339007572675385,0.018648083992083116,1.000937099691318,1.065481275138979
48.1,F,alp,1.0414967150135843,1.0403775519455283,0.020130269540856793,1.0016776944866495,1.073800995413432
48.6,F,alp,1.048801581987525,1.0485841353958005,0.021482196104399068,1.0114138918395899,1.0911913048648945
49.1,F,alp,1.0569638083326576,1.0574303200277495,0.022654621676345972,1.0149010214543992,1.0988294829610676
49.6,F,alp,1.0659665009082553,1.0665906544418515,0.02360869380307315,1.0216865048372656,1.1084081907957524
