C_bone (mg/kg),Cn-BFR,Cn-BFR/control
282.000000,0.076000,100.000000
2355.700265,0.059033,77.675624
2437.257902,0.085154,112.044160
2670.460126,0.092330,121.487480
2803.898944,0.040408,53.168756
3414.371012,0.068799,90.524666
3644.574019,0.057364,75.478304
3844.574393,0.018501,24.342866
3949.494346,0.029600,38.946818
3967.173937,0.139313,183.307047
4745.602120,0.009985,13.137763
6231.266560,0.029534,38.859908
6733.556368,0.026580,34.973966
7828.270329,0.020018,26.339358
12380.449300,0.029356,38.625691
