study,age,sex,f,bw
"Bauer et al, 1957",0.083,F,0.102,3.998
"Bauer et al, 1957",1.5,F,0.19,10.7
"Bauer et al, 1957",25,F,0.17,57.5
"Bauer et al, 1957",43,F,0.132,63.6
"Bauer et al, 1957",51,F,0.132,63.6
"Bauer et al, 1957",56,F,0.198,63.6
"Bauer et al, 1957",58,F,0.18,63.6
"Bauer et al, 1957",0.42,M,0.133,6.23
"Bauer et al, 1957",11,M,0.286,35.2
"Bauer et al, 1957",22,M,0.288,73.3
"Bauer et al, 1957",26,M,0.17,74.7
"Bauer et al, 1957",57,M,0.159,76.5
"Bauer et al, 1957",60,M,0.205,76.5
"Bauer et al, 1957",63,M,0.16,76.5
"Abrams et al, 1992",3.8,F,0.504,15.5
"Abrams et al, 1992",3.9,F,0.692,15.7
"Abrams et al, 1992",10.8,F,2.774,36.02
"Abrams et al, 1992",23,F,0.172,57.3
"Abrams et al, 1992",29,F,0.201,58.2
"Abrams et al, 1992",33,F,0.257,60
"Abrams et al, 1992",0.8,M,0.294,8.7
"Abrams et al, 1992",0.9,M,0.273,9.35
"Abrams et al, 1992",0.9,M,0.307,9.35
"Abrams et al, 1992",5.8,M,1.076,20.12
"Abrams et al, 1992",12,M,1.097,39.7
"Abrams et al, 1992",12.4,M,2.07,41.74
"Abrams et al, 1992",14,M,1.358,50.6
"Heaney and Whedon, 1958",46,F,0.227,63.6
"Heaney and Whedon, 1958",51,F,0.213,63.6
"Heaney and Whedon, 1958",52,F,0.173,63.6
"Heaney and Whedon, 1958",55,F,0.192,63.6
"Heaney and Whedon, 1958",42,M,0.282,76.5
"Heaney and Whedon, 1958",65,M,0.263,76.5
"Heaney and Whedon, 1958",65,M,0.178,76.5
"Neer et al, 1967",21,M,0.19,72.9
"Neer et al, 1967",21,M,0.139,72.9
"Neer et al, 1967",21,M,0.204,72.9
"Neer et al, 1967",22,M,0.135,73.3
"Neer et al, 1967",22,M,0.204,73.3
"Neer et al, 1967",22,M,0.434,73.3
"Neer et al, 1967",23,M,0.223,73.7
"Neer et al, 1967",23,M,0.156,73.7
"Neer et al, 1967",23,M,0.175,73.7
"Neer et al, 1967",24,M,0.088,74.1
"Neer et al, 1967",55,M,0.084,76.5
"Neer et al, 1967",57,M,0.091,76.5
"Bronner et al, 1963",14,M,0.376,50.6
"Bronner et al, 1963",16,M,0.261,62
"Bronner et al, 1963",17,M,0.404,66.2
"Bronner et al, 1963",23,M,0.303,73.7
"Bronner et al, 1963",41,M,0.238,76.5
"Bronner and Harris, 1956",11.2,M,0.766,36.1
"Bronner and Harris, 1956",11.6,M,0.986,37.9
"Bronner and Harris, 1956",12.4,M,0.766,41.74
"Bronner and Harris, 1956",12.6,M,0.766,42.76
"Bronner and Harris, 1956",12.6,M,0.84,42.76
"Bronner and Harris, 1956",12.7,M,0.657,43.27
"Bronner and Harris, 1956",13.1,M,0.84,45.38
"Bronner and Harris, 1956",13.1,M,0.766,45.38
"Bronner and Harris, 1956",15.7,M,1.02,60.41
"Bronner and Harris, 1956",21,M,0.266,72.9
"Bronner and Harris, 1956",22,M,0.314,73.3
"Bronner and Harris, 1956",56,M,0.314,76.5
"Bronner and Harris, 1956",57,M,0.266,76.5
